"ID","nadconVersion","vertconVersion","srcDatum","destDatum","srcVertDatum","destVertDatum","srcLat","srcLatDms","destLat","destLatDms","srcLon","srcLonDms","destLon","destLonDms","srcEht","destEht","srcOrthht","destOrthoht","sigLat","sigLon","sigLat_m","sigLon_m","sigEht","sigOrthoht","deltaLat","deltaLon","spcZone","spcNorthing_m","spcEasting_m","spcNorthing_usft","spcEasting_usft","spcNorthing_ift","spcEasting_ift","spcConvergence","spcScaleFactor","spcCombinedFactor","utmZone","utmNorthing","utmEasting","utmConvergence","utmScaleFactor","utmCombinedFactor","x","y","z","usng"
"﻿ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1S03","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8919592715","N405331.05338","40.8919592715","N405331.05338","-73.8527934698","W0735110.05649","-73.8527934698","W0735110.05649","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","80,551.791","312,405.385","264,277.000","1,024,950.000","264,277.529","1,024,952.050","00 05 46.63","0.99999517","N/A","UTM Zone 18","4,527,397.027","596,640.137","00 45 03.81","0.99971495","N/A","N/A","N/A","N/A","18TWL9664027397"
"1S04","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8708736067","N405215.14498","40.8708736067","N405215.14498","-73.8976100334","W0735351.39612","-73.8976100334","W0735351.39612","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","78,204.826","308,631.344","256,577.000","1,012,568.000","256,577.513","1,012,570.025","00 04 01.10","0.99999497","N/A","UTM Zone 18","4,525,007.778","592,894.221","00 43 17.07","0.99970621","N/A","N/A","N/A","N/A","18TWL9289425007"
"1S03A","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8922759629","N405332.19347","40.8922759629","N405332.19347","-73.8536210359","W0735113.03573","-73.8536210359","W0735113.03573","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","80,586.843","312,335.585","264,392.000","1,024,721.000","264,392.529","1,024,723.049","00 05 44.68","0.99999517","N/A","UTM Zone 18","4,527,431.270","596,569.961","00 45 01.88","0.99971478","N/A","N/A","N/A","N/A","18TWL9656927431"
"1S07","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8397610232","N405023.13968","40.8397610232","N405023.13968","-73.9285759473","W0735542.87341","-73.9285759473","W0735542.87341","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","74,747.168","306,023.774","245,233.000","1,004,013.000","245,233.490","1,004,015.008","00 02 48.18","0.99999492","N/A","UTM Zone 18","4,521,521.590","590,327.050","00 42 02.52","0.99970042","N/A","N/A","N/A","N/A","18TWL9032721521"
"1S03B","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8821490632","N405255.73663","40.8821490632","N405255.73663","-73.8889821738","W0735320.33583","-73.8889821738","W0735320.33583","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","79,457.861","309,357.074","260,688.000","1,014,949.000","260,688.521","1,014,951.030","00 04 21.41","0.99999506","N/A","UTM Zone 18","4,526,268.659","593,605.385","00 43 37.99","0.99970784","N/A","N/A","N/A","N/A","18TWL9360526268"
"1SCL1","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8781316124","N405241.27380","40.8781316124","N405241.27380","-73.8927062502","W0735333.74250","-73.8927062502","W0735333.74250","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","79,011.328","309,043.739","259,223.000","1,013,921.000","259,223.518","1,013,923.028","00 04 12.64","0.99999502","N/A","UTM Zone 18","4,525,818.705","593,297.261","00 43 29.00","0.99970713","N/A","N/A","N/A","N/A","18TWL9329725818"
"1SCH3","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8781316124","N405241.27380","40.8781316124","N405241.27380","-73.8927062502","W0735333.74250","-73.8927062502","W0735333.74250","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","79,011.328","309,043.739","259,223.000","1,013,921.000","259,223.518","1,013,923.028","00 04 12.64","0.99999502","N/A","UTM Zone 18","4,525,818.705","593,297.261","00 43 29.00","0.99970713","N/A","N/A","N/A","N/A","18TWL9329725818"
"1SCH4","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8781316124","N405241.27380","40.8781316124","N405241.27380","-73.8927062502","W0735333.74250","-73.8927062502","W0735333.74250","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","79,011.328","309,043.739","259,223.000","1,013,921.000","259,223.518","1,013,923.028","00 04 12.64","0.99999502","N/A","UTM Zone 18","4,525,818.705","593,297.261","00 43 29.00","0.99970713","N/A","N/A","N/A","N/A","18TWL9329725818"
"10150","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.8251818109","N404930.65452","40.8251818109","N404930.65452","-73.8432757772","W0735035.79280","-73.8432757772","W0735035.79280","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","73,137.516","313,220.726","239,952.000","1,027,625.000","239,952.480","1,027,627.055","00 06 09.04","0.99999499","N/A","UTM Zone 18","4,519,994.611","597,539.837","00 45 22.58","0.99971710","N/A","N/A","N/A","N/A","18TWL9753919994"
